symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
PG,2026-07-06,2026-07-17,85.0,C,62.65,66.5,64.575,155.0783,0.987172,0.000823,-0.068833,0.008577,11,149.31,0,2,
PG,2026-07-06,2026-07-17,90.0,C,53.65,57.6,55.625,0.001,1.0,0.0,-0.009089,0.0,11,149.31,2,5,
PG,2026-07-06,2026-07-17,100.0,C,47.65,51.65,49.65,120.0199,0.978995,0.001622,-0.081126,0.013082,11,149.31,1,6,
PG,2026-07-06,2026-07-17,105.0,C,39.2,42.65,40.925,0.001,1.0,0.0,-0.010603,0.0,11,149.31,2,1,
PG,2026-07-06,2026-07-17,110.0,C,37.7,41.6,39.65,95.2149,0.973681,0.002472,-0.079133,0.015816,11,149.31,1,9,
PG,2026-07-06,2026-07-17,115.0,C,32.7,35.75,34.225,116.602,0.918726,0.004978,-0.216952,0.038997,11,149.31,3,9,
PG,2026-07-06,2026-07-17,120.0,C,27.7,30.45,29.075,95.4834,0.920429,0.005982,-0.177388,0.038378,11,149.31,5,57,
PG,2026-07-06,2026-07-17,125.0,C,22.75,26.45,24.6,58.8871,0.964099,0.005169,-0.066798,0.02045,11,149.31,4,22,
PG,2026-07-06,2026-07-17,130.0,C,18.65,20.45,19.55,68.2864,0.891938,0.010489,-0.160762,0.048121,11,149.31,150,299,
PG,2026-07-06,2026-07-17,135.0,C,12.95,15.7,14.325,58.6918,0.853297,0.0151,-0.170147,0.059544,11,149.31,11,188,
PG,2026-07-06,2026-07-17,140.0,C,8.25,11.75,10.0,57.1537,0.761057,0.020934,-0.219142,0.080385,11,149.31,6,615,
PG,2026-07-06,2026-07-17,141.0,C,7.25,10.2,8.725,47.4615,0.773286,0.024484,-0.179075,0.078072,11,149.31,1,1,
PG,2026-07-06,2026-07-17,142.0,C,6.2,10.1,8.15,54.2973,0.722897,0.023797,-0.22416,0.086813,11,149.31,5,4,
PG,2026-07-06,2026-07-17,143.0,C,5.4,8.3,6.85,42.1148,0.739684,0.029733,-0.17138,0.084129,11,149.31,4,3,
PG,2026-07-06,2026-07-17,144.0,C,5.35,7.25,6.3,38.2208,0.724308,0.033722,-0.160647,0.086596,11,149.31,0,6,
PG,2026-07-06,2026-07-17,145.0,C,4.5,7.05,5.775,42.9937,0.671718,0.032429,-0.192496,0.093673,11,149.31,4,3910,
PG,2026-07-06,2026-07-17,146.0,C,4.5,4.95,4.725,28.1745,0.693408,0.048075,-0.126511,0.091003,11,149.31,1,34,
PG,2026-07-06,2026-07-17,147.0,C,3.9,4.25,4.075,27.5398,0.645536,0.052126,-0.13005,0.096447,11,149.31,11,140,
PG,2026-07-06,2026-07-17,148.0,C,3.3,3.6,3.45,26.9539,0.593087,0.05554,-0.131818,0.100579,11,149.31,54,71,
PG,2026-07-06,2026-07-17,149.0,C,2.8,3.05,2.925,26.8074,0.536581,0.057172,-0.133268,0.102972,11,149.31,738,4067,
PG,2026-07-06,2026-07-17,150.0,C,2.21,2.52,2.365,26.3435,0.478613,0.058341,-0.130619,0.103258,11,149.31,1362,8321,
PG,2026-07-06,2026-07-17,152.5,C,1.15,1.5,1.325,25.7576,0.335221,0.054581,-0.115502,0.094455,11,149.31,809,1238,
PG,2026-07-06,2026-07-17,155.0,C,0.68,0.85,0.765,25.7332,0.21477,0.043779,-0.091694,0.075689,11,149.31,436,18594,
