symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
PG,2026-07-14,2026-07-24,148.0,C,1.33,1.73,1.53,25.3059,0.394889,0.062923,-0.123469,0.093094,10,146.08,193,365,27.16
PG,2026-07-14,2026-07-24,149.0,C,1.01,1.41,1.21,25.5867,0.336434,0.058985,-0.117728,0.088236,10,146.08,2292,86,27.16
PG,2026-07-14,2026-07-24,150.0,C,0.66,1.09,0.875,25.2937,0.27848,0.054896,-0.106684,0.081178,10,146.08,599,5766,27.16
PG,2026-07-14,2026-07-24,152.5,C,0.3,0.65,0.475,26.5632,0.175363,0.040187,-0.085428,0.06241,10,146.08,76,590,27.16
PG,2026-07-14,2026-07-24,155.0,C,0.17,0.4,0.285,28.1257,0.109703,0.027596,-0.065403,0.045378,10,146.08,276,3881,27.16
PG,2026-07-14,2026-07-24,157.5,C,0.05,0.95,0.5,43.3599,0.158952,0.023108,-0.129266,0.058579,10,146.08,7,747,27.16
PG,2026-07-14,2026-07-24,160.0,C,0.01,0.16,0.085,31.2507,0.043249,0.012149,-0.035311,0.022197,10,146.08,112,1028,27.16
PG,2026-07-14,2026-07-24,162.5,C,0.0,0.66,0.33,49.0239,0.10389,0.015222,-0.108425,0.04363,10,146.08,41,1174,27.16
PG,2026-07-14,2026-07-24,165.0,C,0.0,0.28,0.14,44.0435,0.052587,0.010081,-0.057921,0.025959,10,146.08,4,527,27.16
PG,2026-07-14,2026-07-24,167.5,C,0.0,2.14,1.07,66.9925,0.121128,0.012431,-0.164787,0.048688,10,146.08,0,6,27.16
PG,2026-07-14,2026-07-24,170.0,C,0.0,2.13,1.065,71.8265,0.11361,0.01108,-0.168687,0.046528,10,146.08,2,169,27.16
PG,2026-07-14,2026-07-24,172.5,C,0.0,2.13,1.065,76.5627,0.107405,0.009984,-0.172584,0.044692,10,146.08,1,1,27.16
PG,2026-07-14,2026-07-24,175.0,C,0.0,2.13,1.065,81.2014,0.102187,0.009081,-0.176447,0.043109,10,146.08,2,20,27.16
PG,2026-07-14,2026-07-24,185.0,C,0.0,2.13,1.065,98.3399,0.086364,0.006623,-0.18841,0.038076,10,146.08,0,2,27.16
PG,2026-07-14,2026-07-24,100.0,P,0.0,2.13,1.065,151.7581,-0.050672,0.002841,-0.190409,0.025204,10,146.08,2,3,27.16
PG,2026-07-14,2026-07-24,125.0,P,0.0,2.14,1.07,76.6848,-0.096934,0.009252,-0.157509,0.041478,10,146.08,1,24,27.16
PG,2026-07-14,2026-07-24,128.0,P,0.0,2.09,1.045,67.6029,-0.106424,0.011233,-0.148403,0.044397,10,146.08,1,6,27.16
