symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
AMZN,2026-07-03,2026-07-10,350.0,C,0.0,0.76,0.38,120.4106,0.017486,0.001067,-0.125227,0.014513,7,242.67,15,40,
AMZN,2026-07-03,2026-07-10,375.0,C,0.0,0.36,0.18,125.391,0.007857,0.000512,-0.065119,0.00725,7,242.67,20,20,
AMZN,2026-07-03,2026-07-10,140.0,P,0.0,0.21,0.105,153.1252,-0.003433,0.000201,-0.037876,0.003471,7,242.67,1,2,
AMZN,2026-07-03,2026-07-10,145.0,P,0.0,0.75,0.375,171.6798,-0.011074,0.000505,-0.119748,0.009789,7,242.67,2,12,
AMZN,2026-07-03,2026-07-10,150.0,P,0.0,0.08,0.04,121.8754,-0.001647,0.00013,-0.015506,0.001786,7,242.67,1,8,
AMZN,2026-07-03,2026-07-10,155.0,P,0.0,0.56,0.28,145.3128,-0.009858,0.000539,-0.091552,0.008845,7,242.67,4,13,
AMZN,2026-07-03,2026-07-10,160.0,P,0.0,0.1,0.05,109.3755,-0.002325,0.000198,-0.019023,0.002443,7,242.67,10,17,
AMZN,2026-07-03,2026-07-10,165.0,P,0.0,0.36,0.18,119.3363,-0.007737,0.000531,-0.060773,0.007153,7,242.67,10,17,
AMZN,2026-07-03,2026-07-10,170.0,P,0.0,0.36,0.18,111.1333,-0.008332,0.000608,-0.060387,0.007634,7,242.67,5,19,
AMZN,2026-07-03,2026-07-10,175.0,P,0.0,0.04,0.02,79.6877,-0.001248,0.000154,-0.007856,0.001386,7,242.67,1,39,
AMZN,2026-07-03,2026-07-10,180.0,P,0.0,0.03,0.015,71.094,-0.000998,0.000141,-0.005713,0.00113,7,242.67,34,266,
AMZN,2026-07-03,2026-07-10,185.0,P,0.01,0.02,0.015,64.8441,-0.001055,0.000162,-0.005476,0.001188,7,242.67,10,41,
AMZN,2026-07-03,2026-07-10,190.0,P,0.01,0.07,0.04,65.6253,-0.003021,0.000418,-0.014429,0.003094,7,242.67,21,1382,
AMZN,2026-07-03,2026-07-10,195.0,P,0.01,0.04,0.025,56.2504,-0.002148,0.000358,-0.009082,0.002274,7,242.67,17,274,
AMZN,2026-07-03,2026-07-10,200.0,P,0.04,0.05,0.045,53.9067,-0.00418,0.00068,-0.015841,0.004141,7,242.67,598,2051,
AMZN,2026-07-03,2026-07-10,202.5,P,0.02,0.06,0.04,50.1958,-0.004047,0.00071,-0.014324,0.004023,7,242.67,6,42,
AMZN,2026-07-03,2026-07-10,205.0,P,0.05,0.06,0.055,49.6099,-0.00621,0.001051,-0.020719,0.005891,7,242.67,220,724,
AMZN,2026-07-03,2026-07-10,207.5,P,0.04,0.08,0.06,48.2427,-0.008482,0.001423,-0.026511,0.007755,7,242.67,26,154,
AMZN,2026-07-03,2026-07-10,210.0,P,0.06,0.09,0.075,45.7037,-0.009975,0.001731,-0.028928,0.008937,7,242.67,2121,634,
AMZN,2026-07-03,2026-07-10,212.5,P,0.05,0.11,0.08,43.7506,-0.012771,0.002242,-0.034303,0.011078,7,242.67,794,247,
AMZN,2026-07-03,2026-07-10,215.0,P,0.11,0.14,0.125,42.0904,-0.01708,0.002993,-0.042343,0.014225,7,242.67,798,1137,
AMZN,2026-07-03,2026-07-10,217.5,P,0.12,0.19,0.155,40.7232,-0.023719,0.004086,-0.054075,0.018793,7,242.67,132,1200,
AMZN,2026-07-03,2026-07-10,220.0,P,0.2,0.3,0.25,40.6256,-0.037224,0.005953,-0.078325,0.027311,7,242.67,761,1994,
