symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
MSFT,2026-06-22,2026-06-29,345.0,C,21.65,25.1,23.375,48.9751,0.833832,0.010009,-0.472147,0.126856,7,367.34,2,14,
MSFT,2026-06-22,2026-06-29,347.5,C,19.45,22.8,21.125,46.7535,0.816158,0.011179,-0.479661,0.13526,7,367.34,2,14,
MSFT,2026-06-22,2026-06-29,350.0,C,17.4,20.45,18.925,44.0313,0.798159,0.012568,-0.477917,0.143205,7,367.34,3,2,
MSFT,2026-06-22,2026-06-29,352.5,C,15.55,17.4,16.475,36.9147,0.801229,0.014853,-0.402074,0.141892,7,367.34,12,10,
MSFT,2026-06-22,2026-06-29,360.0,C,10.3,11.45,10.875,33.4846,0.682133,0.020935,-0.458022,0.18141,7,367.34,109,2,
MSFT,2026-06-22,2026-06-29,362.5,C,8.55,9.8,9.175,33.0329,0.628634,0.022496,-0.47606,0.192303,7,367.34,3,1,
MSFT,2026-06-22,2026-06-29,365.0,C,7.05,8.35,7.7,32.923,0.570811,0.023444,-0.49005,0.199741,7,367.34,28,2,
MSFT,2026-06-22,2026-06-29,367.5,C,6.05,7.05,6.55,32.8559,0.511444,0.023859,-0.494353,0.202863,7,367.34,29,2,
MSFT,2026-06-22,2026-06-29,370.0,C,5.1,5.5,5.3,30.9821,0.44818,0.025098,-0.461404,0.201232,7,367.34,265,111,
MSFT,2026-06-22,2026-06-29,372.5,C,3.85,5.0,4.425,33.3747,0.39611,0.022696,-0.481508,0.196025,7,367.34,107,3,
MSFT,2026-06-22,2026-06-29,375.0,C,3.4,4.1,3.75,33.3014,0.341214,0.021658,-0.45624,0.186651,7,367.34,333,51,
MSFT,2026-06-22,2026-06-29,377.5,C,2.27,3.4,2.835,33.631,0.292068,0.020074,-0.430206,0.174713,7,367.34,126,70,
MSFT,2026-06-22,2026-06-29,380.0,C,2.0,2.67,2.335,33.1916,0.242334,0.018508,-0.385648,0.158979,7,367.34,417,198,
MSFT,2026-06-22,2026-06-29,382.5,C,1.45,2.27,1.86,34.0949,0.206694,0.016462,-0.361179,0.145245,7,367.34,152,116,
MSFT,2026-06-22,2026-06-29,385.0,C,1.35,1.71,1.53,33.4479,0.164702,0.014572,-0.307297,0.126131,7,367.34,321,269,
MSFT,2026-06-22,2026-06-29,387.5,C,0.87,1.11,0.99,31.5681,0.118181,0.012323,-0.231284,0.100671,7,367.34,79,314,
MSFT,2026-06-22,2026-06-29,390.0,C,0.7,1.08,0.89,33.8874,0.10804,0.010768,-0.232477,0.094428,7,367.34,375,394,
MSFT,2026-06-22,2026-06-29,392.5,C,0.39,0.84,0.615,33.985,0.085484,0.009039,-0.196079,0.079498,7,367.34,150,120,
MSFT,2026-06-22,2026-06-29,395.0,C,0.45,0.82,0.635,36.1335,0.07902,0.008013,-0.196243,0.074926,7,367.34,210,213,
MSFT,2026-06-22,2026-06-29,397.5,C,0.14,0.61,0.375,35.8161,0.06035,0.006568,-0.157925,0.060875,7,367.34,160,149,
MSFT,2026-06-22,2026-06-29,400.0,C,0.3,0.44,0.37,35.401,0.044707,0.005236,-0.122911,0.047966,7,367.34,1771,1235,
MSFT,2026-06-22,2026-06-29,402.5,C,0.19,0.52,0.355,38.7457,0.0481,0.005073,-0.14252,0.050867,7,367.34,278,15,
MSFT,2026-06-22,2026-06-29,405.0,C,0.04,0.39,0.215,38.5016,0.03668,0.0041,-0.113665,0.040847,7,367.34,113,129,
MSFT,2026-06-22,2026-06-29,407.5,C,0.01,0.44,0.225,41.3824,0.038408,0.00396,-0.126756,0.042412,7,367.34,115,159,
MSFT,2026-06-22,2026-06-29,410.0,C,0.1,0.2,0.15,37.6959,0.01946,0.002467,-0.065505,0.024065,7,367.34,325,230,
MSFT,2026-06-22,2026-06-29,412.5,C,0.0,0.45,0.225,45.4107,0.035844,0.003411,-0.131312,0.040084,7,367.34,28,8,
MSFT,2026-06-22,2026-06-29,415.0,C,0.01,0.3,0.155,43.9459,0.024854,0.002601,-0.093769,0.029586,7,367.34,21,50,
MSFT,2026-06-22,2026-06-29,417.5,C,0.0,0.58,0.29,51.6118,0.040476,0.003314,-0.164627,0.044261,7,367.34,2,28,
MSFT,2026-06-22,2026-06-29,420.0,C,0.04,0.45,0.245,50.9771,0.031986,0.002767,-0.134055,0.0365,7,367.34,21,126,
MSFT,2026-06-22,2026-06-29,422.5,C,0.0,0.38,0.19,51.2212,0.026998,0.002392,-0.116977,0.031707,7,367.34,4,11,
MSFT,2026-06-22,2026-06-29,425.0,C,0.01,0.34,0.175,51.9536,0.023812,0.002123,-0.106775,0.028541,7,367.34,11,32,
MSFT,2026-06-22,2026-06-29,427.5,C,0.0,1.02,0.51,57.6176,0.03201,0.002449,-0.151458,0.036522,7,367.34,2,3,
MSFT,2026-06-22,2026-06-29,430.0,C,0.05,0.2,0.125,50.9282,0.01434,0.001406,-0.067939,0.018534,7,367.34,31,113,
MSFT,2026-06-22,2026-06-29,432.5,C,0.0,1.01,0.505,61.0355,0.029966,0.002189,-0.151837,0.034581,7,367.34,1,3,
MSFT,2026-06-22,2026-06-29,435.0,C,0.06,0.07,0.065,47.0708,0.005385,0.000645,-0.026616,0.007858,7,367.34,77,35,
MSFT,2026-06-22,2026-06-29,437.5,C,0.0,1.37,0.685,68.2132,0.036279,0.002293,-0.198537,0.040482,7,367.34,11,2,
MSFT,2026-06-22,2026-06-29,440.0,C,0.0,0.28,0.14,54.395,0.009413,0.000914,-0.050307,0.01286,7,367.34,4,36,
MSFT,2026-06-22,2026-06-29,442.5,C,0.0,1.78,0.89,75.4153,0.042405,0.002355,-0.249099,0.045963,7,367.34,0,37,
MSFT,2026-06-22,2026-06-29,445.0,C,0.0,1.97,0.985,78.7844,0.044867,0.002359,-0.272295,0.048104,7,367.34,0,38,
MSFT,2026-06-22,2026-06-29,447.5,C,0.0,0.99,0.495,70.8987,0.025344,0.001639,-0.153205,0.030074,7,367.34,1,1,
MSFT,2026-06-22,2026-06-29,450.0,C,0.0,0.1,0.05,53.1255,0.003341,0.000373,-0.019578,0.005127,7,367.34,1,151,
MSFT,2026-06-22,2026-06-29,455.0,C,0.0,0.8,0.4,73.1448,0.019933,0.001298,-0.129034,0.024561,7,367.34,1,22,
MSFT,2026-06-22,2026-06-29,460.0,C,0.0,1.77,0.885,87.4025,0.036563,0.001801,-0.255638,0.040741,7,367.34,1,1,
MSFT,2026-06-22,2026-06-29,465.0,C,0.0,2.13,1.065,93.9942,0.040876,0.001834,-0.300978,0.044615,7,367.34,0,2,
MSFT,2026-06-22,2026-06-29,490.0,C,0.0,0.37,0.185,84.0822,0.007975,0.000511,-0.067067,0.011119,7,367.34,23,23,
MSFT,2026-06-22,2026-06-29,525.0,C,0.0,0.36,0.18,100.6841,0.006452,0.000354,-0.066568,0.009224,7,367.34,1,1,
MSFT,2026-06-22,2026-06-29,330.0,P,0.0,0.29,0.145,40.0885,-0.024342,0.002802,-0.082332,0.029074,7,367.34,4,6,
MSFT,2026-06-22,2026-06-29,335.0,P,0.03,0.2,0.115,33.1061,-0.020259,0.002907,-0.058122,0.024901,7,367.34,113,18,
MSFT,2026-06-22,2026-06-29,340.0,P,0.06,0.71,0.385,37.2321,-0.061843,0.00644,-0.162674,0.062049,7,367.34,89,47,
