symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
UNH,2026-06-10,2026-06-18,125.0,C,278.9,283.9,281.4,393.5547,0.989849,0.000114,-0.412578,0.016288,8,407.46,92,224,
UNH,2026-06-10,2026-06-18,130.0,C,273.95,278.85,276.4,379.004,0.989775,0.000119,-0.400738,0.016393,8,407.46,4,232,
UNH,2026-06-10,2026-06-18,135.0,C,269.05,273.85,271.45,367.1876,0.989427,0.000126,-0.40024,0.016878,8,407.46,4,123,
UNH,2026-06-10,2026-06-18,140.0,C,263.9,268.85,266.375,355.9571,0.989053,0.000134,-0.400413,0.017396,8,407.46,2,134,
UNH,2026-06-10,2026-06-18,145.0,C,258.95,263.8,261.375,342.9201,0.989006,0.00014,-0.388144,0.017462,8,407.46,2,78,
UNH,2026-06-10,2026-06-18,150.0,C,254.0,258.85,256.425,334.5705,0.988298,0.000151,-0.399842,0.018435,8,407.46,6,132,
UNH,2026-06-10,2026-06-18,155.0,C,248.85,253.9,251.375,326.3674,0.98757,0.000164,-0.41104,0.019425,8,407.46,4,191,
UNH,2026-06-10,2026-06-18,160.0,C,243.9,248.85,246.375,314.5998,0.987506,0.00017,-0.398963,0.019512,8,407.46,44,506,
UNH,2026-06-10,2026-06-18,165.0,C,238.75,243.85,241.3,305.0784,0.987096,0.000181,-0.398364,0.020064,8,407.46,2,186,
UNH,2026-06-10,2026-06-18,170.0,C,234.0,238.9,236.45,297.7053,0.986291,0.000195,-0.409615,0.021141,8,407.46,2,154,
UNH,2026-06-10,2026-06-18,175.0,C,228.7,233.9,231.3,288.721,0.98584,0.000207,-0.409022,0.021739,8,407.46,2,140,
UNH,2026-06-10,2026-06-18,180.0,C,223.9,228.95,226.425,281.6897,0.984977,0.000223,-0.41993,0.022875,8,407.46,6,287,
UNH,2026-06-10,2026-06-18,185.0,C,218.8,223.95,221.375,273.1448,0.984487,0.000237,-0.419098,0.023514,8,407.46,6,71,
UNH,2026-06-10,2026-06-18,190.0,C,213.7,218.95,216.325,264.8441,0.983977,0.000251,-0.418323,0.024175,8,407.46,102,268,
UNH,2026-06-10,2026-06-18,195.0,C,208.7,213.95,211.325,256.7875,0.983441,0.000266,-0.41771,0.024866,8,407.46,42,104,
UNH,2026-06-10,2026-06-18,200.0,C,204.3,208.8,206.55,244.2875,0.98425,0.000268,-0.382882,0.023822,8,407.46,54,485,
UNH,2026-06-10,2026-06-18,210.0,C,194.0,199.7,196.85,252.5394,0.975115,0.000382,-0.574037,0.035119,8,407.46,9,804,
UNH,2026-06-10,2026-06-18,220.0,C,184.15,188.7,186.425,212.1098,0.98309,0.000328,-0.356749,0.025317,8,407.46,1,1081,
UNH,2026-06-10,2026-06-18,230.0,C,173.95,179.8,176.875,224.2192,0.970696,0.000493,-0.585625,0.040253,8,407.46,1,753,
UNH,2026-06-10,2026-06-18,240.0,C,164.05,168.65,166.35,184.2774,0.981213,0.000413,-0.34201,0.027695,8,407.46,2,350,
UNH,2026-06-10,2026-06-18,250.0,C,153.75,159.3,156.525,186.6212,0.971872,0.000573,-0.477381,0.038905,8,407.46,1,510,
UNH,2026-06-10,2026-06-18,260.0,C,144.0,148.95,146.475,166.7482,0.974204,0.000596,-0.40192,0.036194,8,407.46,2,439,
UNH,2026-06-10,2026-06-18,270.0,C,134.45,139.1,136.775,157.7151,0.970124,0.000713,-0.428735,0.040904,8,407.46,11,772,
UNH,2026-06-10,2026-06-18,280.0,C,125.75,128.7,127.225,138.0862,0.973884,0.000728,-0.342321,0.036569,8,407.46,6,2096,
UNH,2026-06-10,2026-06-18,290.0,C,114.2,118.65,116.425,126.1234,0.972499,0.000832,-0.328634,0.038182,8,407.46,3,3293,
UNH,2026-06-10,2026-06-18,300.0,C,104.35,108.65,106.5,115.4789,0.97001,0.000976,-0.324707,0.041033,8,407.46,10,6704,
UNH,2026-06-10,2026-06-18,310.0,C,95.1,98.9,97.0,109.3266,0.962038,0.001252,-0.369589,0.049816,8,407.46,26,2214,
UNH,2026-06-10,2026-06-18,320.0,C,84.2,88.6,86.4,94.1163,0.964812,0.001367,-0.305724,0.046817,8,407.46,57,2171,
UNH,2026-06-10,2026-06-18,325.0,C,78.9,84.25,81.575,98.4375,0.94844,0.00178,-0.422355,0.063755,8,407.46,3,3,
UNH,2026-06-10,2026-06-18,330.0,C,74.7,78.85,76.775,87.8907,0.954641,0.001799,-0.347001,0.057545,8,407.46,12,3683,
UNH,2026-06-10,2026-06-18,335.0,C,69.1,74.05,71.575,85.425,0.947151,0.002092,-0.378205,0.065018,8,407.46,0,1,
UNH,2026-06-10,2026-06-18,340.0,C,64.35,69.15,66.75,81.4943,0.941456,0.002377,-0.390349,0.070487,8,407.46,22,2359,
UNH,2026-06-10,2026-06-18,345.0,C,58.95,64.25,61.6,77.4416,0.935194,0.002708,-0.400904,0.076309,8,407.46,9,15,
UNH,2026-06-10,2026-06-18,350.0,C,54.6,59.2,56.9,71.7288,0.932158,0.003029,-0.386384,0.079063,8,407.46,50,3967,
UNH,2026-06-10,2026-06-18,355.0,C,48.8,53.6,51.2,59.9613,0.945858,0.003037,-0.281416,0.066275,8,407.46,2,27,
UNH,2026-06-10,2026-06-18,360.0,C,46.55,49.1,47.825,60.474,0.924623,0.003895,-0.356617,0.085717,8,407.46,29,3185,
UNH,2026-06-10,2026-06-18,365.0,C,38.85,43.75,41.3,51.9536,0.930503,0.004261,-0.294944,0.080546,8,407.46,4,82,
UNH,2026-06-10,2026-06-18,370.0,C,37.45,38.75,38.1,47.0342,0.923819,0.005049,-0.287651,0.086413,8,407.46,40,2315,
UNH,2026-06-10,2026-06-18,372.5,C,32.05,36.5,34.275,46.8023,0.910007,0.005752,-0.319822,0.097953,8,407.46,1,76,
UNH,2026-06-10,2026-06-18,375.0,C,29.7,34.45,32.075,47.8033,0.888706,0.006576,-0.374385,0.114384,8,407.46,5,74,
UNH,2026-06-10,2026-06-18,377.5,C,27.25,31.55,29.4,42.066,0.898003,0.007016,-0.315676,0.107403,8,407.46,5,138,
UNH,2026-06-10,2026-06-18,380.0,C,26.85,29.2,28.025,40.6012,0.885718,0.00789,-0.328837,0.116568,8,407.46,58,7556,
UNH,2026-06-10,2026-06-18,382.5,C,24.35,26.7,25.525,37.9279,0.878607,0.008815,-0.321378,0.121655,8,407.46,8,315,
UNH,2026-06-10,2026-06-18,385.0,C,21.4,24.3,22.85,35.9015,0.86614,0.009967,-0.324907,0.130213,8,407.46,21,352,
UNH,2026-06-10,2026-06-18,387.5,C,18.9,22.3,20.6,36.2189,0.836055,0.011314,-0.369275,0.14912,8,407.46,1,182,
UNH,2026-06-10,2026-06-18,390.0,C,16.45,19.55,18.0,31.8244,0.833983,0.012982,-0.330927,0.150338,8,407.46,68,5687,
UNH,2026-06-10,2026-06-18,392.5,C,14.1,17.75,15.925,32.6728,0.792171,0.014533,-0.383236,0.172791,8,407.46,2,74,
UNH,2026-06-10,2026-06-18,395.0,C,12.75,15.3,14.025,29.7431,0.771988,0.016842,-0.368661,0.18228,8,407.46,56,842,
UNH,2026-06-10,2026-06-18,397.5,C,11.55,13.35,12.45,29.0168,0.73109,0.018852,-0.389341,0.199052,8,407.46,44,876,
UNH,2026-06-10,2026-06-18,400.0,C,10.45,11.6,11.025,28.7422,0.68234,0.020562,-0.412876,0.215057,8,407.46,398,12662,
UNH,2026-06-10,2026-06-18,402.5,C,9.05,9.85,9.45,27.967,0.631471,0.022351,-0.422258,0.227465,8,407.46,96,338,
UNH,2026-06-10,2026-06-18,405.0,C,7.45,8.25,7.85,27.314,0.575218,0.023781,-0.426044,0.236364,8,407.46,452,858,
UNH,2026-06-10,2026-06-18,407.5,C,6.05,7.15,6.6,28.0891,0.514993,0.023528,-0.442397,0.240484,8,407.46,301,472,
UNH,2026-06-10,2026-06-18,410.0,C,5.15,5.6,5.375,26.5388,0.452936,0.024746,-0.414233,0.238978,8,407.46,982,8367,
UNH,2026-06-10,2026-06-18,412.5,C,4.2,4.65,4.425,26.783,0.393534,0.023808,-0.403939,0.232033,8,407.46,677,176,
UNH,2026-06-10,2026-06-18,415.0,C,3.35,3.85,3.6,27.1003,0.338306,0.02237,-0.387026,0.220606,8,407.46,747,1845,
UNH,2026-06-10,2026-06-18,417.5,C,2.63,3.1,2.865,27.1125,0.285522,0.020776,-0.35864,0.204976,8,407.46,78,415,
UNH,2026-06-10,2026-06-18,420.0,C,2.21,2.43,2.32,26.9355,0.235696,0.018944,-0.321926,0.185677,8,407.46,1933,6378,
UNH,2026-06-10,2026-06-18,422.5,C,1.65,2.01,1.83,27.5154,0.197696,0.01675,-0.29625,0.167706,8,407.46,39,42,
UNH,2026-06-10,2026-06-18,425.0,C,1.34,1.62,1.48,27.8328,0.162829,0.014658,-0.26472,0.14846,8,407.46,909,1989,
UNH,2026-06-10,2026-06-18,430.0,C,0.79,0.98,0.885,27.9914,0.103956,0.010691,-0.194649,0.108897,8,407.46,1883,7142,
UNH,2026-06-10,2026-06-18,435.0,C,0.47,0.62,0.545,28.6872,0.06681,0.007485,-0.142748,0.078132,8,407.46,408,396,
UNH,2026-06-10,2026-06-18,440.0,C,0.3,0.39,0.345,29.3952,0.042225,0.005078,-0.101472,0.054316,8,407.46,1330,4704,
UNH,2026-06-10,2026-06-18,445.0,C,0.05,0.3,0.175,31.2263,0.031018,0.003713,-0.083586,0.042195,8,407.46,12,95,
UNH,2026-06-10,2026-06-18,450.0,C,0.12,0.16,0.14,31.0554,0.01702,0.002253,-0.050092,0.025458,8,407.46,918,10085,
UNH,2026-06-10,2026-06-18,455.0,C,0.0,0.22,0.11,35.6452,0.020197,0.002271,-0.066416,0.029451,8,407.46,21,40,
UNH,2026-06-10,2026-06-18,460.0,C,0.03,0.12,0.075,35.2546,0.011233,0.001387,-0.03965,0.017791,8,407.46,182,1500,
UNH,2026-06-10,2026-06-18,465.0,C,0.0,0.11,0.055,37.5006,0.009715,0.001149,-0.037129,0.015676,8,407.46,3,44,
UNH,2026-06-10,2026-06-18,470.0,C,0.0,0.11,0.055,40.0397,0.008996,0.001006,-0.037038,0.014657,8,407.46,7,591,
UNH,2026-06-10,2026-06-18,475.0,C,0.01,0.21,0.11,46.5826,0.014706,0.001325,-0.065971,0.022459,8,407.46,4,1,
UNH,2026-06-10,2026-06-18,480.0,C,0.0,0.14,0.07,46.5826,0.00991,0.000941,-0.046832,0.015951,8,407.46,25,739,
UNH,2026-06-10,2026-06-18,490.0,C,0.01,0.03,0.02,43.1646,0.002241,0.00027,-0.011527,0.00424,8,407.46,26,326,
UNH,2026-06-10,2026-06-18,500.0,C,0.01,0.02,0.015,45.7037,0.001445,0.000171,-0.008185,0.002845,8,407.46,76,9325,
UNH,2026-06-10,2026-06-18,510.0,C,0.0,0.1,0.05,54.102,0.002957,0.000277,-0.018539,0.005448,8,407.46,1,978,
UNH,2026-06-10,2026-06-18,520.0,C,0.01,0.1,0.055,58.7895,0.002985,0.000257,-0.020304,0.005494,8,407.46,65,669,
UNH,2026-06-10,2026-06-18,530.0,C,0.0,0.11,0.055,62.891,0.002813,0.000228,-0.020579,0.005207,8,407.46,1,690,
